lat,lon,depth,time,Gephyrocapsa huxleyi HET,temperature,no3,o2,PAR
60,-19,20,6,91200.0,10.102977300615471,6.005547524158783,288.9848838401811,10.88031229217527
60,-7,10,6,21200.0,10.399233105516133,4.8230015895082055,291.21901365731094,28.89896626511708
60,-5,0,5,1700.0,8.95419721537405,7.306514006926125,297.0000256759624,87.88567643514327
62,-15,0,7,352500.0,11.368489671628852,3.087756700502578,286.15597384602466,80.76740560972497
63,-11,0,8,24400.0,10.684296657452693,2.2524218035157193,287.6915995518279,62.193848848985894
63,-6,0,8,3500.0,10.573876493595401,1.5695397812415128,288.14564009654674,62.59179639048078
63,0,10,12,78700.0,7.733452357370879,11.1564304855382,290.91235279266465,0.5902010994266734
64,-2,15,6,154600.0,8.356892981896529,4.56534303430926,317.1549975697882,15.164647272314678
65,-11,25,6,1900.0,4.835151484858876,5.075049378765746,345.28825593243397,5.046239891041945
65,-5,0,6,30200.0,7.122218280742146,3.6083392273647426,330.42116317034305,85.55724331769228
65,-4,0,8,50900.0,10.344562493614466,0.9604614565653664,287.7707828292889,57.18525357116989
65,-4,10,9,95400.0,9.60533590876279,1.9893615931060253,286.3791806950176,11.65526039453074
66,-9,10,6,15300.0,4.9714888537575055,3.8830440163386952,346.8773704848282,29.541073844675623
67,-11,10,6,100.0,3.5680367639114534,3.513770004091079,360.00851449763104,29.605578682765238
68,0,0,4,3400.0,4.9757712034740145,11.727295025866216,308.3538449151632,47.29837403545185
68,0,10,6,99500.0,7.540704669856548,4.918006682355768,317.48220073179266,27.818286193898786
69,-13,0,9,60000.0,5.307753256489849,1.258055854484269,322.16155923707265,26.404704541095125
69,0,0,5,4100.0,5.4343828669940075,9.80829284304443,318.8822123959318,69.05661303563063
69,0,20,5,9200.0,5.252082180878592,9.918131396144624,317.3355912938628,11.943324944315776
69,0,25,2,1700.0,4.711895435831839,10.693886852207815,305.06661728951406,0.722924701858667
70,-17,0,9,53200.0,3.19637581533865,1.4381674560816413,339.3885768543948,25.675379659748046
70,-13,0,9,27600.0,4.685052575294636,1.0080156117575387,327.90935402937635,24.71831094573051
70,-11,0,9,157700.0,5.266107889879329,1.0100523365817355,322.2517489484311,24.68203782762069
70,-6,10,6,50300.0,3.7580221504475926,4.97854215342819,346.9348475056663,27.124444795881043
70,-6,20,9,3700.0,6.626795926035892,1.9648646395500788,305.1036477030506,4.453150925355947
59,-50,25,4,0.0,2.516063315878603,11.88132332431621,329.30238212423336,7.7671953220585666
67,-27,20,4,0.0,1.9271768510414828,10.239708033102168,320.99276447083497,9.77505626864375
58,-6,25,6,0.0,,,,
47,-11,20,7,0.0,16.33379034020849,0.33282041198334744,253.6357947026798,21.926870699109518
54,-14,10,1,0.0,10.371561004894735,9.615668175608059,262.35840210985236,5.168064375392577
54,-14,20,3,0.0,10.166575913818926,10.299378766494444,267.43887763137957,10.261237985626535
62,-4,10,4,0.0,7.585380632693114,12.385675091819465,292.4068014342498,27.39772862545827
65,-3,0,4,0.0,5.034192445355579,12.324363008323035,315.4044249860993,55.446630120186924
53,-12,25,8,0.0,14.755723728984862,5.0596571410596045,250.78129262719196,10.068249665450924
52,-51,5,11,0.0,3.167069153694068,5.123606883553703,330.74350442767025,9.073985588495473
52,-8,15,1,0.0,9.806009292660747,8.689827911555767,270.1604003896937,2.3093563007988758
47,-51,10,12,0.0,2.1625514010276614,1.1499993794119816,320.7245866529034,5.46567376675145
51,-21,10,5,0.0,11.59382866263699,4.773691041957153,281.42651606644915,36.331360981798646
59,-23,10,6,0.0,10.10183852707266,5.852772454088636,293.4356934089741,32.30105197658598
69,-23,15,5,0.0,0.30901292785195267,7.187810762421143,365.3593142773215,12.468059125032191
66,-46,25,7,0.0,,,,
57,-33,20,2,0.0,6.3059877716003365,10.274976338892444,290.8472983382017,4.207019430052216
50,-56,5,11,0.0,,,,
47,-38,10,4,0.0,12.776572023053888,2.5207786033733117,269.0809788994668,31.95351090814579
61,-10,20,5,0.0,9.019952478804472,10.234715504933497,288.9800158818994,12.26292677285723
58,-30,10,11,0.0,8.415454513397542,8.732400242801125,277.37634295335914,4.275619416683548
47,-3,20,12,0.0,12.936599731459864,4.950234657153487,246.7003021165874,1.5343813045306138
52,-30,0,4,0.0,9.199319112247869,10.490468958764822,286.34157071673576,68.5594680966708
67,-10,5,11,0.0,3.448556544147003,8.089378295002135,318.4473157117944,1.2633125311744031
47,-50,10,12,0.0,2.6879734850885573,1.4435072002402956,320.117904975032,5.465822085248772
68,-52,5,4,0.0,,,,
46,-45,15,1,0.0,7.58331906618696,4.448096367417776,286.70105588331904,4.533422805150799
49,-48,0,5,0.0,3.129773358632885,3.499514981819294,358.89328398104806,91.07258814934686
50,-58,20,4,0.0,-0.1943114585970754,0.07068105099251809,385.82792305294123,5.615942661857905
50,-45,0,5,0.0,6.586054003454274,6.441763103046352,317.4266025133952,84.35717621035855
52,-21,25,7,0.0,13.769875140879547,2.6731680431914193,262.04306753479216,8.356660319473114
60,-11,20,12,0.0,9.196150030321983,9.32332134727645,269.38170467602816,0.5956321640574778
61,-6,15,2,0.0,7.911678543835707,10.955408055164604,280.5577110958707,4.303606442957936
60,-1,25,1,0.0,8.072549819713457,7.062866214662789,280.32809448405163,0.4906809375935421
61,-50,25,6,0.0,2.3818856540101816,4.000140022379389,349.9146508240929,6.4189075074455495
58,-32,10,11,0.0,7.855726657235183,9.26180861767532,281.3722188439637,4.300810179929563
68,-49,15,11,0.0,,,,
68,-40,15,1,0.0,,,,
57,-47,10,3,0.0,3.537446315425834,14.358123354020588,311.2817459448348,16.78995924017553
64,-12,15,1,0.0,5.577106160180946,13.259288652057789,279.6977439207587,0.6566974968243082
45,-12,20,3,0.0,12.296761236827269,6.29635575793528,263.29982699801127,11.031416834942585
48,-19,0,10,0.0,15.783272298929342,0.6063123649661342,248.63087547546112,38.91572765885832
57,-51,10,12,0.0,3.398483362460185,5.814478457551398,311.5166619537655,2.238306425123512
62,-20,20,2,0.0,7.732475109311488,12.791468070714485,279.69375222632254,2.861485934230213
51,-57,20,7,0.0,,,,
68,-21,10,5,0.0,1.9993434082021806,6.034785432640977,368.9069791938157,23.617798131209828
56,-29,25,10,0.0,10.368790777077308,6.1293283296062215,271.5111975173577,3.26688149525936
50,-21,0,8,0.0,16.26372134184822,0.05578279555864133,249.4605921480215,82.04275139626415
66,-41,25,12,0.0,,,,
