time,depth,lat,lon,temperature,no3,o2,PAR
1,0,45,-19,13.147256317138796,4.528253412077095,256.3232502822301,22.777760967952386
1,0,45,-18,13.076160782530138,4.766040153942253,255.78797607066608,22.641076156144
1,0,45,-17,12.99634866817832,4.995320549115557,255.26509019509749,22.619444347066143
1,0,45,-16,12.906780519980638,5.096738594980971,254.84252382853617,22.499092477616976
1,0,45,-15,12.829386712280648,5.177926906259213,254.49755211129758,22.83580042025301
1,0,45,-14,12.7756740355841,5.288912873408033,254.1057168074217,22.638076303983777
1,0,45,-13,12.744953651303849,5.376623394565851,253.49336158045995,22.787864321814244
1,0,45,-12,12.731919442378237,5.451875292120518,252.59672793131656,22.96204051264721
1,0,45,-11,12.725376994510757,5.450237573176987,251.509165326695,22.921109944182177
1,0,45,-10,12.719319657567823,5.359720101551605,250.2456058758847,22.77838779065496
1,0,45,-9,12.739890626132953,5.203763342864897,248.60361664235808,22.53431103693406
1,0,45,-8,12.765064480209732,4.845630108192588,247.95547906367042,22.344613976846798
1,0,45,-7,12.768425419180872,4.199925829384165,249.71642792139434,22.152838572741704
1,0,45,-6,12.726060388784155,3.513739838148432,253.31480162470524,22.10210272103097
1,0,45,-5,12.612300937584754,3.259450169424438,257.5429423450594,22.19397097074767
1,0,45,-4,12.397604293233757,3.7288068812536697,260.8852694470478,22.827171322972777
1,0,45,-3,12.04803828973004,4.8391965211267705,262.5325390077764,23.174760067894738
1,0,45,-2,11.614966856679,6.327237938347293,263.37653932126995,23.42097218131891
1,0,46,-60,-0.11960617885639266,0.026398314139197045,352.14473421714007,19.07938817711085
1,0,46,-59,0.24062978189613074,0.015578259766554425,344.88378698248397,18.26158638983153
1,0,46,-58,0.7633797315317266,0.036130847960946365,336.3018356564622,17.15882621182974
1,0,46,-57,1.027357344891707,0.2781843586224844,328.803475147651,16.520712897068428
1,0,46,-56,1.182067479345094,0.38871685823082547,323.8784829316967,16.455667662739494
1,0,46,-55,1.1916284511759259,0.44229396333067367,330.50256409820497,16.593412825945794
1,0,46,-54,0.9493697806664885,1.3439979984229666,345.87366501027236,16.958665889951625
1,0,46,-53,0.0620555973640242,3.0227166072031846,359.51091395336294,17.019638936837612
1,0,46,-52,0.010728442890375164,3.2955211589064186,353.8574815378892,16.868462618179727
1,0,46,-51,0.4561871233779568,3.653637939567897,347.42767997502233,16.832351402765312
1,0,46,-50,1.0286097114107748,3.9578585739240606,338.7684906358978,16.903019884386566
1,0,46,-49,1.8164008346091838,4.15975515123795,328.81897228092805,17.14285425294107
1,0,46,-48,2.912377726157511,4.29035757219628,318.1743562342124,17.545301676490254
1,0,46,-47,4.310858350039145,4.3847409578310215,307.3638610199511,17.043076337808785
1,0,46,-46,5.918655868563701,4.470243194843289,296.8260994343044,16.597915237916713
1,0,46,-45,7.5974557060561745,4.567950560452829,286.8220747709952,16.057662323931307
1,0,46,-44,9.207277094137277,4.693326894453712,277.4596441857484,15.965190400840415
