lat,lon,depth,time,Primary_Production,temperature,no3,o2,PAR
59.0,0.0,15.0,7,936.48,12.314409719837872,0.6032155585321664,285.655072487934,25.52649883388127
60.0,-32.0,5.0,7,5000.0,9.567284397910665,6.257149953364496,294.21848130723606,46.553232360851524
60.0,-29.0,0.0,7,4160.0,10.182378859948157,6.819254393701889,286.95028603641407,77.5279234772986
60.0,-22.0,15.0,6,3646.47,9.900721603763904,6.153476576972324,294.27258698818326,18.69667334720185
60.0,-22.0,20.0,6,1264.57,9.796056329651307,6.435637022752766,292.905713749713,11.302787738633526
60.0,-22.0,25.0,6,803.0,9.685406803203248,6.746660148832078,290.51369607223444,6.897944989142678
60.0,-21.0,5.0,7,3340.0,11.641037427347909,4.873863635792329,280.54152242799427,48.50678629891349
60.0,-19.0,15.0,6,2473.0924999999997,10.214629850315218,5.668409862281497,290.07503305467264,18.179931219877577
60.0,-19.0,20.0,6,1208.17,10.102977300615471,6.005547524158783,288.9848838401811,10.88031229217527
60.0,-19.0,25.0,6,591.33,9.988296609221694,6.371693774856512,286.9181913150794,6.5740129911992256
60.0,-7.0,5.0,6,1659.93,10.473002854645577,4.674763984581104,292.90925935209594,51.61304573336393
60.0,-1.0,0.0,6,4755.09,10.610000133514404,0.9910085201263426,291.92369079589844,94.01589088695648
60.0,-1.0,5.0,6,2596.895,10.605449676499118,0.8435100279748439,296.76368704438204,51.47748274276024
60.0,-1.0,15.0,6,527.28,10.261199953034518,0.9874297399073838,295.18475342355663,16.335277259121575
60.0,0.0,0.0,7,5548.23,12.698791628759164,0.6718106538092262,278.28623437804083,86.80417655228554
60.0,0.0,5.0,7,4841.67,12.631699691204927,0.6319421473847991,284.30218135898093,54.50160597273373
60.0,0.0,10.0,7,3625.0,12.511033044560177,0.7596538431041194,285.0304849572409,34.460398649892014
60.0,0.0,20.0,7,1011.46,11.839151331015504,0.9816087545139116,285.9375009766887,14.02649229372091
61.0,-26.0,0.0,8,3780.0,11.48878698693074,3.0640691175875587,282.2422420350558,63.52966556087942
61.0,-23.0,0.0,6,5627.915,9.794840405101457,6.582450070029007,298.67563869875124,90.48896409629671
61.0,-23.0,5.0,6,4035.835,9.715243572150287,5.86059821935227,301.9006157265908,52.249522922570684
61.0,-23.0,10.0,6,2846.67,9.641430030411755,6.1539299003294925,301.06392998660795,30.646717213948072
61.0,-23.0,15.0,6,1510.0,9.526560976787895,6.455220837330197,299.32714116257995,18.211081520170023
61.0,-23.0,20.0,6,727.5,9.414165673705327,6.760757680980071,297.80111082111665,10.942551010742477
61.0,-22.0,0.0,7,2780.0,11.440823799267962,4.261925286646478,282.84710314829624,79.93770549520065
61.0,-21.0,5.0,8,2700.0,12.115537928985011,2.5055143534898847,274.60907340394226,37.12127648098103
61.0,-16.0,0.0,6,5144.165,10.348421768211308,4.607435543889194,292.92926418584125,90.02707549596755
61.0,-16.0,5.0,6,3163.335,10.307793681850024,4.965063143797797,292.08466539418436,51.044892967201754
61.0,-16.0,10.0,6,1627.92,10.219217369687932,5.178866410530832,291.1883061478167,29.37776969470231
61.0,-16.0,15.0,6,1016.25,10.120753843917715,5.541733032299215,290.5812254368673,17.137077537428222
61.0,-16.0,20.0,6,442.91499999999996,10.000451283375908,5.956823554819421,289.5884633238886,10.120863129491179
62.0,-36.0,0.0,7,1260.0,8.661497979011425,6.362228180526541,305.43764897818795,76.27893607572199
62.0,-36.0,5.0,7,2410.0,8.56028157906251,5.792365256696819,301.95873937737537,48.13267505790062
62.0,-30.0,5.0,7,4270.0,9.773370420177262,7.241203685732023,294.9052348063043,47.19069176625411
62.0,-29.0,0.0,8,2350.0,10.746630990118245,4.415184138714536,284.528494087746,61.502443850034744
62.0,-25.0,10.0,8,3100.0,11.360360559773568,3.028455951363824,278.96005904259266,20.184141959642037
63.0,-36.0,0.0,7,2260.0,8.20984085455925,5.456244168433586,309.80467610762423,77.49720886456498
63.0,-36.0,5.0,7,2300.0,8.112489385542546,5.07364082504057,303.65130913491225,48.30377672203406
65.0,-11.0,20.0,6,3672.26,5.097128417697239,4.429639766127151,346.7829681418152,8.625990086284835
67.0,-17.0,15.0,6,1321.4,3.3581048270708775,3.5077108115194138,373.27969117254594,16.965138497155007
68.0,-11.0,15.0,6,1591.76,2.9074678655239383,4.376037378740437,361.87421690852943,20.31941033776739
69.0,-8.0,10.0,6,1056.96,3.7137684263806574,4.606101550275707,349.5235481303297,27.41153019614411
